gene,symbol,outcome,mr_b,mr_p,gwas_min_p,eqtl_F_max,nsnp,pp4,ok,note
ENSG00000122420,PTGFR,fbg,0.0311683575766359,0.331334906503133,0.0002061,18.9999,1716,0.00672352707104673,TRUE,""
ENSG00000122432,SPATA1,fbg,-0.0505271930860677,0.277605418363564,3.356e-06,12.2412,2205,0.00744908841329998,TRUE,""
ENSG00000122484,RPAP2,fbg,0.0228545309518952,0.21129954733371,0.001528,25.7065,1658,0.00842954398008371,TRUE,""
ENSG00000123685,BATF3,fbg,0.00514497693098909,0.814951943236324,0.001554,41.1086,1760,0.00566327623571719,TRUE,""
ENSG00000123689,G0S2,fbg,-0.100970778331029,0.0345463375262028,0.0002072,16.3095,2109,0.046889113754648,TRUE,""
ENSG00000123836,PFKFB2,fbg,0.0633063860786229,0.317310507862914,0.001884,8.9806,1425,0.0105071578544904,TRUE,""
ENSG00000123838,C4BPA,fbg,0.0168805285540196,0.0955807045456294,0.001884,132.6122,1507,0.0372000506240237,TRUE,""
ENSG00000123843,C4BPB,fbg,-0.00825256028152233,0.628477445586286,0.001884,31.9296,1467,0.00421069100588751,TRUE,""
ENSG00000125703,ATG4C,fbg,-0.0308669601729683,0.129486728502174,0.005053,27.0863,1936,0.0108186267464624,TRUE,""
ENSG00000125945,ZNF436,fbg,-0.00400366124920153,0.954431397113681,0.005674,8.8615,1288,0.00422092714071476,TRUE,""
ENSG00000127125,PPCS,fbg,0.0986933337347153,0.317310507862914,0.0001169,5.9403,1681,0.00638563526569446,TRUE,""
ENSG00000127483,HP1BP3,fbg,-0.170413500787662,0.0310163604667257,1.131e-05,11.4897,1770,0.0461960159036187,TRUE,""
ENSG00000130768,SMPDL3B,fbg,0.00372890055043181,0.900523550339774,1.967e-05,19.0941,804,0.0040512448012396,TRUE,""
ENSG00000130770,ATPIF1,fbg,-0.0196378446714232,0.289680155734686,1.967e-05,32.5716,872,0.0072539797077947,TRUE,""
ENSG00000130772,MED18,fbg,-0.113198934955981,0.331753366775936,1.967e-05,4.7021,919,0.00337889557770839,TRUE,""
ENSG00000130939,UBE4B,fbg,-0.0916397078769042,0.317310507862914,0.005201,24.9617,1127,0.0181881396848363,TRUE,""
ENSG00000131236,CAP1,fbg,-0.0211864651046744,0.391365938307552,0.0002863,16.9074,1351,0.00579202719498731,TRUE,""
ENSG00000131238,PPT1,fbg,0.056592652737798,0.0180965654136911,0.0002863,117.1236,1351,0.0467702832069461,TRUE,""
ENSG00000131686,CA6,fbg,-0.00502477571053534,0.876876835728897,0.0002507,39.4979,1215,0.00928707256996169,TRUE,""
ENSG00000132196,HSD17B7,fbg,0.0331580413994725,0.0482681480094495,0.0001711,18.5822,2577,0.0297779536216713,TRUE,""
ENSG00000132694,ARHGEF11,fbg,-0.00728667754405048,0.861079633584653,0.001098,17.0997,1839,0.00513579362468611,TRUE,""
ENSG00000132698,RAB25,fbg,-0.0515978019001153,0.457124710034358,0.002818,9.8238,932,0.00618370433712931,TRUE,""
ENSG00000132704,FCRL2,fbg,-0.0920743583561474,0.051841878715686,0.001098,13.5319,2201,0.0250990463995614,TRUE,""
ENSG00000132768,DPH2,fbg,-0.131466893870374,0.0656348819693961,0.0003154,10.4772,1464,0.0308113568848737,TRUE,""
ENSG00000132849,INADL,fbg,0.0877396997828747,0.0239416374758644,0.0007042,28.2264,1660,0.0763640160147225,TRUE,""
ENSG00000132879,FBXO44,fbg,-0.0111452367360077,0.827287450832149,0.002302,14.7271,1273,0.00649060129520384,TRUE,""
ENSG00000133048,CHI3L1,fbg,-0.00194891089018475,0.7924288824046,0.003817,82.4898,1637,0.00458417138935304,TRUE,""
ENSG00000133055,MYBPH,fbg,-0.00298595849872948,0.7924288824046,0.003817,59.602,1633,0.00467439949498022,TRUE,""
ENSG00000133059,DSTYK,fbg,0.000348909610737277,0.975070165131246,0.004246,86.4101,2053,0.00470276895915341,TRUE,""
ENSG00000133063,CHIT1,fbg,-0.0010967545012767,0.979005461093967,0.003817,14.7235,1625,0.00456227397613831,TRUE,""
ENSG00000133065,SLC41A1,fbg,-0.0199746683723413,0.33317326895895,0.001884,26.6853,1588,0.00600153715383489,TRUE,""
ENSG00000133226,SRRM1,fbg,0.0484544402002728,0.381573905705021,0.000818,6.9008,1208,0.00557153180820699,TRUE,""
ENSG00000134198,TSPAN2,fbg,0.0275048333062899,0.610448075861918,0.0006516,17.4305,1858,0.0071680926144366,TRUE,""
ENSG00000134202,GSTM3,fbg,0.0498374645645098,0.0141737231063884,0.001876,141.768,1664,0.00921966690671299,TRUE,""
ENSG00000134215,VAV3,fbg,0.00473461608228138,0.700522394103849,0.0002447,98.1797,1847,0.00384865332299858,TRUE,""
ENSG00000134222,PSRC1,fbg,0.0295393670677574,0.0187053618476017,0.001876,52.427,1327,0.0177115749348612,TRUE,""
ENSG00000134243,SORT1,fbg,0.187735406358725,0.00224643980500647,0.001876,10.2362,1364,0.280811118075082,TRUE,""
ENSG00000134247,PTGFRN,fbg,0.110302281284949,0.0619481514134812,0.0008496,20.1837,1632,0.0472056152080407,TRUE,""
