gene,symbol,outcome,mr_b,mr_p,padj,gwas_min_p,eqtl_F_max,nsnp,pp4,strong
ENSG00000074695,LMAN1,cad,0.0801612476855269,0.000465258158071,0.018204621209002087,2.018e-08,41.7273,6490.0,0.0231873410549299,False
ENSG00000141452,C18orf8,cad,-0.117885329122998,5.02751287616541e-06,0.0005482180832350908,2.511e-07,34.1441,4547.0,0.794542645368913,False
ENSG00000179981,TSHZ1,cad,-0.168448463939831,0.0001830130601569,0.009165019220758339,5.179e-05,22.6578,6525.0,0.709318104055715,False
ENSG00000011422,PLAUR,cad,0.610120453481186,2.00478689359048e-06,0.0002603206910588771,1.808e-06,11.5325,5819.0,0.99567426748846,True
ENSG00000011478,QPCTL,cad,-0.351596497289527,0.0001946917563925,0.009553719947074307,2.135e-35,11.5556,5960.0,4.00097007461858e-26,False
ENSG00000069399,BCL3,cad,-1.37889750763682,1.45583607073046e-06,0.00021149982837453504,2.135e-35,5.7527,5580.0,0.0044830838025775,False
ENSG00000077348,EXOSC5,cad,0.65205337386999,0.0003718133883781,0.01523915599908341,2.362e-17,5.702,4112.0,0.477391943233776,False
ENSG00000079805,DNM2,cad,0.4119706105205,3.21193955521989e-05,0.0023802418734212853,1.931e-36,9.0466,5180.0,8.86249857800012e-16,False
ENSG00000096996,IL12RB1,cad,0.0818360129620864,0.0002327263451511,0.010738344850321038,1.438e-13,53.9205,5820.0,2.75005525687141e-08,False
ENSG00000099331,MYO9B,cad,-0.323779241031622,0.0016730747221523,0.04463459163298309,1.438e-13,14.487,5863.0,1.70942180178011e-08,False
ENSG00000105287,PRKD2,cad,0.106196223353763,0.0001605261001211,0.008293660095341198,1.551e-08,41.7346,5254.0,0.0128722599020134,False
ENSG00000105323,HNRNPUL1,cad,-0.348968675765647,2.47127745741023e-10,1.2087018044193435e-07,2.362e-17,20.3002,4239.0,3.86865033530836e-05,False
ENSG00000105329,TGFB1,cad,-1.22076839145754,4.33729030509136e-10,1.9285169892910766e-07,2.362e-17,5.2153,4190.0,0.0166137343520604,False
ENSG00000105341,ATP5SL,cad,0.21515677614241,2.67613630763868e-08,6.770163455514199e-06,2.362e-17,26.2247,4069.0,5.52557910260337e-07,False
ENSG00000105726,ATP13A1,cad,-0.201524851842718,3.30334486392276e-07,6.377628840570876e-05,3.179e-07,51.3747,5097.0,0.0230933281752721,False
ENSG00000105767,CADM4,cad,0.619919836634753,2.00478689359048e-06,0.0002603206910588771,1.808e-06,11.3502,5812.0,0.995682040058074,True
ENSG00000118620,ZNF430,cad,-0.173259014208594,7.90149177756325e-05,0.004891923580260994,3.973e-05,22.8965,6834.0,0.811586798031648,True
