gene,symbol,outcome,mr_b,mr_p,padj,gwas_min_p,eqtl_F_max,nsnp,pp4,set,status
ENSG00000214413,BBIP1,t2d,0.23901575845091,6.05548178703319e-05,0.0041976434972699,4.911e-06,12.6391,3967.0,0.853468938885073,fdr_core_strong,strong (FDR-core)
ENSG00000196072,BLOC1S2,t2d,-0.656705814190135,5.36478227963317e-09,2.484869610430091e-06,1.232e-09,12.4727,3239.0,0.973617613057999,fdr_core_strong,strong (FDR-core)
ENSG00000141452,C18orf8,t2d,-0.174714511688267,7.04931796352848e-07,0.0001330232408302,8e-07,34.1441,3036.0,0.988627669745569,fdr_core_strong,strong (FDR-core)
ENSG00000135974,C2orf49,t2d,0.993379810487888,1.90172751687517e-07,5.09963247288368e-05,1.219e-07,7.2014,4423.0,0.980172561304731,fdr_core_strong,strong (FDR-core)
ENSG00000183049,CAMK1D,t2d,0.179714385993701,6.57408081238469e-08,2.2242532768266903e-05,1.966e-17,70.4495,4180.0,0.9996531860928,fdr_core_strong,strong (FDR-core)
ENSG00000134256,CD101,t2d,0.132574119576048,0.0001163658554592,0.0065152091600508,2.471e-08,58.4668,2916.0,0.94884375983226,fdr_core_strong,strong (FDR-core)
ENSG00000111642,CHD4,t2d,-0.623696522042661,5.54968624320915e-06,0.0007198943185691,1.523e-06,13.5673,2524.0,0.963192794374054,fdr_core_strong,strong (FDR-core)
ENSG00000163815,CLEC3B,t2d,0.111929641906865,0.0001319529291076,0.0071521295085449,5.068e-05,47.3822,3578.0,0.833833762129008,fdr_core_strong,strong (FDR-core)
ENSG00000095485,CWF19L1,t2d,-0.0796943702644714,0.0003150936635397,0.0138396742735756,1.232e-09,86.5516,3228.0,0.960013578606752,fdr_core_strong,strong (FDR-core)
ENSG00000163257,DCAF16,t2d,-0.317303900174054,0.0001170265770407,0.0065163979237417,7.034e-06,19.0171,4036.0,0.83892141295213,fdr_core_strong,strong (FDR-core)
ENSG00000268471,DKFZP434I0714,t2d,-0.445431366989514,4.7914079722855e-07,0.0001061401026904,2.317e-10,7.8782,3360.0,0.846089322792501,fdr_core_strong,strong (FDR-core)
ENSG00000163577,EIF5A2,t2d,0.529277206925724,0.0012472518509482,0.0365215412677073,2.25e-08,8.5467,3569.0,0.824313108247966,fdr_core_strong,strong (FDR-core)
ENSG00000111879,FAM184A,t2d,0.643006225173843,0.0001331744820441,0.0071801480001554,3.576e-05,8.234,4366.0,0.900001903620784,fdr_core_strong,strong (FDR-core)
ENSG00000109670,FBXW7,t2d,-0.770102372650013,9.43880609044675e-08,2.748040973190068e-05,2.317e-10,10.5898,3384.0,0.924611234196519,fdr_core_strong,strong (FDR-core)
ENSG00000146830,GIGYF1,t2d,-0.409074571669657,2.6352263939231e-07,6.549501696116192e-05,2.337e-07,25.7592,2705.0,0.998350307342822,fdr_core_strong,strong (FDR-core)
ENSG00000108262,GIT1,t2d,0.105373674968557,0.0005580594806816,0.0208301322642692,3.31e-05,47.8503,1917.0,0.893666795884946,fdr_core_strong,strong (FDR-core)
ENSG00000122557,HERPUD2,t2d,-0.202859892195129,3.26933027351139e-05,0.0025430897318382,3.499e-05,28.3585,4114.0,0.93119066276845,fdr_core_strong,strong (FDR-core)
ENSG00000149084,HSD17B12,t2d,-0.10880817903888,9.57033597806677e-05,0.0059002453211185,5.134e-07,84.298,4647.0,0.800204188355584,fdr_core_strong,strong (FDR-core)
ENSG00000187486,KCNJ11,t2d,0.595181300858269,3.9776513897556e-16,8.106453532321914e-13,2.0890000000000003e-20,12.9023,3474.0,0.896540971188041,fdr_core_strong,strong (FDR-core)
ENSG00000073614,KDM5A,t2d,-0.143784561181357,0.0007002692988775,0.0247768894290337,1.124e-05,42.3652,1998.0,0.816740225694258,fdr_core_strong,strong (FDR-core)
ENSG00000138160,KIF11,t2d,-1.83211659421256,2.28581698277329e-34,1.3581754280499712e-30,9.337e-40,9.3753,3664.0,0.882591554243968,fdr_core_strong,strong (FDR-core)
ENSG00000248971,KRT8P46,t2d,0.107924101998527,3.6079151362383804e-09,1.8382327619134547e-06,6.182e-10,32.8526,3352.0,0.980973396431229,fdr_core_strong,strong (FDR-core)
ENSG00000144749,LRIG1,t2d,-0.177889553805024,1.90399083840792e-05,0.0017019005827523,1.654e-06,37.0252,4070.0,0.922057550649883,fdr_core_strong,strong (FDR-core)
ENSG00000230069,LRRC37A15P,t2d,0.092904706653621,3.60791513623836e-09,1.8382327619134547e-06,6.182e-10,38.1637,3349.0,0.980973397057211,fdr_core_strong,strong (FDR-core)
ENSG00000229666,MAST4-AS1,t2d,-0.150027981673134,2.65042752056378e-06,0.0003858265204934,3.92e-07,17.7703,3673.0,0.97675195075488,fdr_core_strong,strong (FDR-core)
ENSG00000112282,MED23,t2d,-0.32684334125419,5.19282777130817e-07,0.0001079853786694,2.427e-08,28.7006,4067.0,0.982610203294629,fdr_core_strong,strong (FDR-core)
ENSG00000160563,MED27,t2d,0.484028084041588,1.55022237131617e-05,0.0015107112812911,1.354e-05,12.0978,2653.0,0.926102331834865,fdr_core_strong,strong (FDR-core)
