gene,symbol,outcome,mr_b,mr_p,gwas_min_p,eqtl_F_max,nsnp,pp4,ok,note
ENSG00000085465,OVGP1,cad,-0.0495364146700132,0.0327125845123929,0.000327,54.7789,4536,0.00381317141641985,TRUE,""
ENSG00000085491,SLC25A24,cad,-0.00598655647786173,0.747885634053571,3.634e-58,63.5825,3944,0.00309522056893756,TRUE,""
ENSG00000085552,IGSF9,cad,-0.396453471570425,0.0526167448642874,2.348e-05,9.6821,5374,0.0303889378860902,TRUE,""
ENSG00000085998,POMGNT1,cad,0.0585940908068415,0.231162986563861,1.755e-05,26.6389,3247,0.00602373430429013,TRUE,""
ENSG00000085999,RAD54L,cad,-0.365419510866014,0.0489265970586632,1.755e-05,6.2237,3315,0.0143855265598232,TRUE,""
ENSG00000086015,MAST2,cad,-0.0603680450099041,0.350084072884968,1.755e-05,16.0243,3127,0.00357903300332046,TRUE,""
ENSG00000086619,ERO1LB,cad,-0.0194262136606068,0.610912097082934,3.923e-05,26.4336,5813,0.00202410165368351,TRUE,""
ENSG00000088035,ALG6,cad,-0.0919097080477821,0.322223493278312,0.0006603,18.8807,4421,0.00743423957854133,TRUE,""
ENSG00000088280,ASAP3,cad,0.0318627726899582,0.632028809628701,2.061e-05,18.8782,3507,0.0033028104453647,TRUE,""
ENSG00000090020,SLC9A1,cad,-0.158780925528248,0.0915072499234822,1.852e-06,11.8995,2697,0.00274932237151992,TRUE,""
ENSG00000090273,NUDC,cad,-0.474849102886847,0.0191753059098185,1.852e-06,9.9413,2798,0.0190462976911893,TRUE,""
ENSG00000090432,MUL1,cad,-0.0575060664823516,0.0837354259193023,2.942e-05,53.6683,4639,0.00642244390480221,TRUE,""
ENSG00000090621,PABPC4,cad,-0.130281099921897,0.0176283468597595,9.106e-06,22.0369,3675,0.0446607281274591,TRUE,""
ENSG00000090686,USP48,cad,0.0241215754448195,0.407599712663706,2.942e-05,44.534,5260,0.00637528012469891,TRUE,""
ENSG00000092621,PHGDH,cad,0.00890263523271215,0.747012853671546,0.001545,59.8913,1709,0.00478624911868542,TRUE,""
ENSG00000092847,EIF2C1,cad,-0.150379104550319,0.433330527911648,0.001811,7.6746,2394,0.00742704092732189,TRUE,""
ENSG00000092850,TEKT2,cad,-0.171048260914427,0.221623602459393,2.34e-06,8.5378,2665,0.00728749390063333,TRUE,""
ENSG00000092969,TGFB2,cad,0.0788495462647517,0.701930313171014,3.164e-06,6.8959,5926,0.00249692478035544,TRUE,""
ENSG00000092978,GPATCH2,cad,-0.0572346179073886,0.704457418583588,3.164e-06,6.7951,6149,0.00298489268136801,TRUE,""
ENSG00000094975,SUCO,cad,-0.440845895916074,0.000215599466954777,0.0001149,8.0377,4642,0.771385074122299,TRUE,""
ENSG00000097021,ACOT7,cad,0.0680191625002064,0.347846015098735,0.0001892,22.341,5539,0.0064619093275875,TRUE,""
ENSG00000097033,SH3GLB1,cad,0.112687182269363,0.269832541889272,2.058e-05,20.0448,4340,0.00743188734083592,TRUE,""
ENSG00000097046,CDC7,cad,0.0133849844667807,0.583426134426407,0.0001336,76.9393,4084,0.00363247691821583,TRUE,""
ENSG00000097096,SYDE2,cad,0.0153039838923128,0.863535801193692,0.0003317,11.5422,4717,0.00296656699239943,TRUE,""
ENSG00000116128,BCL9,cad,-0.0789530444527552,0.402220371371964,6.933e-05,19.5131,3091,0.00972215454103121,TRUE,""
ENSG00000116133,DHCR24,cad,-0.0464321010937635,0.165757617863569,1.855e-22,30.101,5177,3.04311248081913e-18,TRUE,""
ENSG00000116138,DNAJC16,cad,-0.0955530265615941,0.404656761927286,0.0002725,9.3142,5100,0.00372568654226612,TRUE,""
ENSG00000116151,MORN1,cad,0.0474604211127704,0.378125201477686,1.326e-08,18.1359,4213,5.94574006406676e-06,TRUE,""
ENSG00000116157,GPX7,cad,-0.0296801191428381,0.219232533281333,0.0008757,85.0997,3806,0.00918755690461529,TRUE,""
ENSG00000116161,CACYBP,cad,-0.123763403440023,0.40790488230962,1.615e-06,6.8903,4746,0.000826838254947516,TRUE,""
ENSG00000116171,SCP2,cad,-0.00711142268456423,0.673716649749524,0.0008757,97.5326,4238,0.00293086325839492,TRUE,""
ENSG00000116191,RALGPS2,cad,0.138811861959984,0.414947884659161,0.000618,9.5848,5631,0.0056811444815712,TRUE,""
ENSG00000116198,CEP104,cad,0.0148474822624852,0.570602642478956,9.974e-10,94.2134,7243,1.5153983164667e-06,TRUE,""
ENSG00000116199,FAM20B,cad,-0.109591074820427,0.0133727842913177,0.000618,22.9015,5464,0.0519673184734845,TRUE,""
ENSG00000116205,TCEANC2,cad,0.0331689246421869,0.82475874772984,1.855e-22,14.0484,4761,2.96851779512897e-18,TRUE,""
ENSG00000116209,TMEM59,cad,0.140806191032827,0.614369491663113,1.855e-22,13.0107,4719,6.06116199055064e-18,TRUE,""
ENSG00000116212,LRRC42,cad,-0.0992944183132721,0.288008758003942,1.855e-22,15.0629,4653,0.00625114762174032,TRUE,""
ENSG00000116213,WRAP73,cad,-0.0126064594507663,0.49041106256261,9.974e-10,46.4078,6521,3.51137350275543e-06,TRUE,""
ENSG00000116221,MRPL37,cad,0.084825258566535,0.0938705466072013,1.855e-22,24.5712,4653,6.57707950799696e-18,TRUE,""
ENSG00000116237,ICMT,cad,-0.00289166177980205,0.959544943886841,0.0001892,37.6324,5655,0.00601015302998141,TRUE,""
ENSG00000116254,CHD5,cad,-0.121420488881234,0.317310507862914,0.0001892,7.5075,5969,0.00440445611750307,TRUE,""
ENSG00000116260,QSOX1,cad,-0.0219617956673481,0.269045576986182,0.000618,56.6971,6085,0.00358714411791306,TRUE,""
ENSG00000116266,STXBP3,cad,0.162145456559325,0.00421590347118131,3.634e-58,13.6993,3238,5.85054919471675e-39,TRUE,""
ENSG00000116273,PHF13,cad,-0.067664980424608,0.171729810514712,0.0001892,21.4001,5495,0.00659926297828219,TRUE,""
ENSG00000116285,ERRFI1,cad,-0.165381696002189,0.308894778641829,0.0001354,6.2304,4859,0.00385268429936942,TRUE,""
ENSG00000116288,PARK7,cad,0.0413988888435017,0.232163150234388,0.0001354,38.2446,4871,0.00642917211708868,TRUE,""
ENSG00000116299,KIAA1324,cad,0.00625632618249548,0.7325223685108,3.634e-58,150.1966,3545,1.03964841643224e-52,TRUE,""
ENSG00000116350,SRSF4,cad,-0.038459898159081,0.698684565645401,1.972e-05,10.1152,3851,0.00278461733841017,TRUE,""
ENSG00000116353,MECR,cad,-0.139853801711016,0.411200878531683,1.972e-05,10.5447,3932,0.0064780064739193,TRUE,""
ENSG00000116396,KCNC4,cad,-0.176022427796445,0.317310507862914,1.793e-05,5.6859,3918,0.00276181644552053,TRUE,""
ENSG00000116455,WDR77,cad,-0.144159041301791,0.0386591525938991,0.000327,10.1049,4530,0.0231838373466366,TRUE,""
ENSG00000116459,ATP5F1,cad,-0.234470559455035,0.235448315465431,0.000327,5.3141,4573,0.0214233819462769,TRUE,""
ENSG00000116473,RAP1A,cad,-0.0194139089004334,0.8000106397393,0.000327,17.4205,4470,0.00351752284730398,TRUE,""
ENSG00000116489,CAPZA1,cad,0.0869216172003312,0.423710797166793,6.597e-07,7.1444,3109,0.00223023162213347,TRUE,""
ENSG00000116497,S100PBP,cad,0.0508983072833958,0.0636192624279565,7.588e-05,41.7592,2919,0.0146912886304578,TRUE,""
ENSG00000116514,RNF19B,cad,0.0966336282086769,0.293007714239339,7.588e-05,18.6522,3123,0.00880640546933619,TRUE,""
ENSG00000116574,RHOU,cad,0.0338148549000232,0.30903861569102,3.954e-07,28.3544,4313,0.00127425763131526,TRUE,""
ENSG00000116584,ARHGEF2,cad,-0.0242937561526644,0.898724545227828,6.393e-05,6.8819,3075,0.00430795481438742,TRUE,""
ENSG00000116586,LAMTOR2,cad,-0.606175741450222,0.0194944991660889,6.393e-05,6.3653,3164,0.0472325360412692,TRUE,""
ENSG00000116641,DOCK7,cad,-0.00936139541015412,0.767003814165864,0.0006603,30.3199,4207,0.00269994954906284,TRUE,""
ENSG00000116649,SRM,cad,0.544242273338154,0.351271052638159,7.382e-08,6.1386,5346,0.000660850023540997,TRUE,""
ENSG00000116661,FBXO2,cad,-0.00944622004190486,0.574358707696528,7.382e-08,49.6758,5188,0.000188698813516219,TRUE,""
ENSG00000116663,FBXO6,cad,0.0407462857935282,0.286122384391018,7.382e-08,23.8849,5201,0.000209202645871998,TRUE,""
ENSG00000116667,C1orf21,cad,0.201228443653432,0.038222211793451,1.657e-05,12.5491,4486,0.0158607253565846,TRUE,""
ENSG00000116668,SWT1,cad,-0.0265923873832924,0.94684707139927,1.657e-05,5.3773,3963,0.00464692192617481,TRUE,""
ENSG00000116670,MAD2L2,cad,0.200585812216784,0.0124193306515523,7.382e-08,17.3292,5216,0.0044386634822923,TRUE,""
ENSG00000116675,DNAJC6,cad,-0.255658471283647,0.60227847004513,0.0001561,4.6812,4074,0.00376213509432244,TRUE,""
ENSG00000116678,LEPR,cad,0.0166918098175428,0.599583190937392,0.0001561,53.3618,4177,0.00466621934805064,TRUE,""
ENSG00000116679,IVNS1ABP,cad,0.0695544457799615,0.169710590866295,1.657e-05,23.4645,4028,0.0046062570082786,TRUE,""
ENSG00000116685,KIAA2013,cad,0.0120322523937881,0.225085949837533,7.382e-08,52.765,4989,0.00028253090133906,TRUE,""
ENSG00000116688,MFN2,cad,0.00754790044376137,0.610912097082934,7.382e-08,140.8936,4875,0.000466913244391174,TRUE,""
ENSG00000116690,PRG4,cad,-0.0590654918925569,0.304577450342942,0.0005843,23.095,4603,0.00539934046879519,TRUE,""
ENSG00000116691,MIIP,cad,0.0931308307542092,0.110379162671558,7.382e-08,17.3339,4791,0.000466864428753986,TRUE,""
ENSG00000116698,SMG7,cad,-0.0454999080714425,0.0127302373345826,1.294e-05,84.9036,5205,0.00799889534171583,TRUE,""
ENSG00000116701,NCF2,cad,-0.0846086976168875,0.126931238256761,1.294e-05,18.2681,5141,0.00433716671488741,TRUE,""
ENSG00000116704,SLC35D1,cad,0.00903119992286404,0.686573982946944,0.0002924,30.415,4335,0.00291304740823151,TRUE,""
ENSG00000116717,GADD45A,cad,0.537660632457676,0.0377474876706988,0.0002924,7.8979,4451,0.0307658268102084,TRUE,""
ENSG00000116729,WLS,cad,0.0406492882969017,0.0760311410098992,0.0002924,79.2477,4022,0.00380588399613014,TRUE,""
ENSG00000116731,PRDM2,cad,-0.0111442703007283,0.962612853295523,8.476e-05,4.7917,4699,0.00332639175788928,TRUE,""
ENSG00000116741,RGS2,cad,-0.0579962853147219,0.292079175875861,4.845e-05,18.0468,5031,0.00382971431416485,TRUE,""
