gene,symbol,outcome,grp,mr_b,mr_p,gwas_min_p,eqtl_F_max,nsnp,pp4,ok,note
ENSG00000026652,AGPAT4,fbg,grey,0.0725608126169473,0.184810896060643,0.004257,14.964,2458,0.0118968786408096,TRUE,""
ENSG00000027075,PRKCH,fbg,null,0.0135787535009427,0.841480581121794,0.001122,9.1761,1729,0.00461694308070997,TRUE,""
ENSG00000028116,VRK2,t2d,grey,0.0839593647143234,0.0659033526061219,1.851e-07,30.8609,3317,0.0203428507923903,TRUE,""
ENSG00000028310,BRD9,t2d,grey,0.258312478743455,0.0559903035694375,1.262e-05,19.5858,2131,0.00757767009499883,TRUE,""
ENSG00000028310,BRD9,cad,grey,0.100621721370997,0.320908536072989,1.628e-05,19.5858,5530,0.00933750869422357,TRUE,""
ENSG00000028839,TBPL1,cad,grey,-0.0442017034265821,0.249098268106654,3.555e-31,18.3728,4669,3.29092031843871e-27,TRUE,""
ENSG00000029153,ARNTL2,t2d,null,0.0416176657223838,0.906843193032938,1.015e-16,4.636,4077,0.00208118243864387,TRUE,""
ENSG00000029153,ARNTL2,fbg,null,0.0794519072881873,0.580515713596355,0.00142,4.636,2315,0.00378648104022056,TRUE,""
ENSG00000029639,TFB1M,fbg,grey,-0.0284817380183728,0.155795591786075,0.001801,27.4053,2221,0.0100316254132347,TRUE,""
ENSG00000031081,ARHGAP31,t2d,grey,-0.0892797044941098,0.246222101109975,0.000402,19.7266,3637,0.00887513026356773,TRUE,""
ENSG00000031691,CENPQ,t2d,null,-0.0182044736836613,0.550132909714819,0.0007113,51.0629,4228,0.00446560042739633,TRUE,""
ENSG00000031823,RANBP3,t2d,grey,-0.129541248507304,0.425013951601085,0.002095,9.6014,1629,0.00554717734215,TRUE,""
ENSG00000033030,ZCCHC8,cad,grey,0.125380836165587,0.310033608381307,1.192e-05,9.4611,3074,0.0058165756131304,TRUE,""
ENSG00000033100,CHPF2,t2d,grey,0.0417265375048295,0.499675764943554,6.489e-05,23.0357,2771,0.00440435516460415,TRUE,""
ENSG00000033327,GAB2,t2d,grey,-0.154092347311801,0.12840842407895,0.005182,16.4103,2638,0.0176056330075861,TRUE,""
ENSG00000034053,APBA2,fbg,grey,0.0551812191913218,0.12037739394581,0.003625,23.3617,1260,0.0183263653435157,TRUE,""
ENSG00000034510,TMSB10,t2d,null,-0.0314129390006879,0.775096962195985,0.0042,11.4048,3170,0.00554867376856556,TRUE,""
ENSG00000035499,DEPDC1B,fbg,grey,0.155701544250512,0.0708478257810241,3.16e-05,5.6723,1564,0.0214756159595212,TRUE,""
ENSG00000035664,DAPK2,fbg,null,-0.0161403703620847,0.665873563888404,0.0003134,20.8436,1347,0.00551785526292473,TRUE,""
ENSG00000035681,NSMAF,t2d,null,-0.0159244953917098,0.668235141795249,1.749e-05,42.9271,1714,0.00478615703754289,TRUE,""
ENSG00000036549,ZZZ3,fbg,grey,0.0503538265699462,0.228153812895039,0.0002061,16.6021,1658,0.00903188304584485,TRUE,""
ENSG00000036565,SLC18A1,t2d,null,-0.0185926448836786,0.542023387720777,3.035e-08,50.0727,5228,1.50318870715953e-05,TRUE,""
ENSG00000037280,FLT4,t2d,grey,0.0793350159894604,0.362142424056669,0.00153,22.2908,1800,0.00910278818586206,TRUE,""
ENSG00000037897,METTL1,cad,grey,0.0696635119176783,0.351231423953114,4.918e-09,12.0547,3383,3.01053790696808e-05,TRUE,""
ENSG00000038358,EDC4,t2d,null,-0.137554048336303,0.671952828737792,0.0002947,10.4224,2072,0.0101269448209022,TRUE,""
ENSG00000038382,TRIO,cad,null,-0.0759101828046849,0.641848188772075,0.001209,13.9224,5659,0.00641512313584745,TRUE,""
ENSG00000038532,CLEC16A,fbg,null,-0.0056543547993356,0.911528237909377,0.0002398,14.3337,2119,0.00576603431765584,TRUE,""
ENSG00000038945,MSR1,fbg,grey,0.0138599051271125,0.348501423761085,0.001901,48.7287,2890,0.00473026028229608,TRUE,""
ENSG00000039068,CDH1,t2d,null,-0.0135127623650538,0.780643138508224,3.882e-09,28.8806,2569,9.91383212400434e-06,TRUE,""
ENSG00000039123,SKIV2L2,t2d,null,0.0805208065810712,0.600089476878222,1.329e-11,6.4283,3113,0.00564462329241764,TRUE,""
ENSG00000039319,ZFYVE16,t2d,null,0.0196396070598982,0.953637483353272,3.761e-07,7.4625,2706,0.00821192161670922,TRUE,""
ENSG00000039650,PNKP,cad,null,0.00659282857310695,0.778939163028047,9.641e-06,52.6632,3819,0.00233323478529227,TRUE,""
ENSG00000040633,PHF23,fbg,null,-0.0119671374338334,0.795927918181723,0.001727,22.3111,1504,0.00697393586271364,TRUE,""
ENSG00000041357,PSMA4,t2d,grey,0.0469625349935366,0.479369457910652,5.434e-06,21.9696,3289,0.00391233729627104,TRUE,""
ENSG00000041357,PSMA4,fbg,null,0.0153842787047792,0.552679335565412,0.0004417,21.9696,1881,0.00486481107575826,TRUE,""
ENSG00000041515,MYO16,fbg,null,-0.00741178758987307,0.522895216724075,0.0001625,51.6447,2720,0.00441288928345836,TRUE,""
ENSG00000042832,TG,t2d,null,0.0253792099924791,0.583156102375104,0.002752,31.4545,2753,0.00636189545800026,TRUE,""
ENSG00000042832,TG,fbg,null,0.00958770155271432,0.595245548732816,0.001922,31.4545,2956,0.0044075800527462,TRUE,""
ENSG00000042980,ADAM28,fbg,grey,-0.0296887426518171,0.225465985004507,9.821e-06,23.9348,2180,0.00593744083407484,TRUE,""
ENSG00000043143,PHF15,fbg,grey,-0.100913986184805,0.391365938307552,0.000263,6.7891,1687,0.00840563442498724,TRUE,""
ENSG00000043462,LCP2,fbg,grey,-0.0648850194793069,0.130991357527418,0.0001479,19.9789,2373,0.017469803384417,TRUE,""
ENSG00000046604,DSG2,fbg,grey,0.0658089561823116,0.453254704753736,0.0006893,5.7978,2089,0.00586923286497513,TRUE,""
ENSG00000047315,POLR2B,fbg,grey,0.0249211199816173,0.349538991650093,2.384e-05,13.8965,1943,0.00595235004289628,TRUE,""
ENSG00000047410,TPR,fbg,grey,0.0250014414748283,0.393294214421889,0.0002101,24.8733,1507,0.00776576034210151,TRUE,""
ENSG00000048342,CC2D2A,t2d,null,-0.00999066753192664,0.929393771944136,0.001035,11.3832,4582,0.00369634210154056,TRUE,""
ENSG00000048405,ZNF800,cad,null,0.00360167283986487,0.945017067376838,6.92e-05,19.7061,3956,0.00267079662219375,TRUE,""
ENSG00000048462,TNFRSF17,fbg,grey,0.061624649859944,0.302423598900007,0.004219,9.5319,2450,0.00977333910973609,TRUE,""
ENSG00000048462,TNFRSF17,t2d,null,-0.0821661998132586,0.591554054889021,4.08e-05,9.5319,5093,0.00405384021403253,TRUE,""
ENSG00000048471,SNX29,cad,null,-0.00752745761640505,0.704457418583588,0.0003121,78.4202,8265,0.0613624937096193,TRUE,""
ENSG00000049089,COL9A2,cad,grey,0.208220422059142,0.109598583399116,9.106e-06,16.1657,4233,0.016993558511282,TRUE,""
ENSG00000049167,ERCC8,t2d,grey,-0.0485299422057939,0.245032424686099,0.002769,34.0484,2010,0.00735665501816632,TRUE,""
ENSG00000049239,H6PD,cad,grey,-0.0208339309533404,0.417742017975973,0.0002465,48.6706,4264,0.00348127018897408,TRUE,""
ENSG00000049245,VAMP3,cad,grey,0.0328622418014332,0.412532886370104,0.0001354,31.8996,4924,0.00390731638023178,TRUE,""
ENSG00000049247,UTS2,cad,null,-0.0137251207673693,0.78550522553624,0.0001354,51.1912,4887,0.00848858115074009,TRUE,""
ENSG00000049249,TNFRSF9,cad,grey,0.128963175163807,0.480922710459597,0.0001354,15.2448,4857,0.00802958237647487,TRUE,""
ENSG00000049759,NEDD4L,cad,null,0.0085044034973165,0.880764615259515,2.466e-05,18.8373,,,FALSE,对齐后仅 0 变异(<10)
ENSG00000049860,HEXB,t2d,grey,0.0411650031133031,0.195364459810383,0.0001562,23.5105,2827,0.00837955345896475,TRUE,""
ENSG00000050130,JKAMP,fbg,null,-0.000875862332504301,0.975070165131246,0.002222,41.0878,2136,0.00781749256385752,TRUE,""
ENSG00000050426,LETMD1,t2d,null,0.0480605174487748,0.666858456903257,7.813e-06,23.9485,2293,0.000985785586732999,TRUE,""
