ENSG,biotype
ENSG00000249307,lncRNA
ENSG00000197136,protein_coding
ENSG00000220614,processed_pseudogene
ENSG00000212293,snoRNA
ENSG00000196781,protein_coding
ENSG00000257303,lncRNA
ENSG00000188277,protein_coding
ENSG00000236790,lncRNA
ENSG00000259953,lncRNA
ENSG00000259834,NOT_FOUND
ENSG00000187860,protein_coding
ENSG00000221535,NOT_FOUND
ENSG00000213339,protein_coding
ENSG00000256087,protein_coding
ENSG00000228302,lncRNA
ENSG00000196378,protein_coding
ENSG00000253649,protein_coding
ENSG00000253519,lncRNA
ENSG00000255310,lncRNA
ENSG00000184056,protein_coding
ENSG00000213390,protein_coding
ENSG00000261367,lncRNA
ENSG00000258302,NOT_FOUND
ENSG00000251405,lncRNA
ENSG00000205238,protein_coding
ENSG00000183049,protein_coding
ENSG00000228590,lncRNA
ENSG00000198380,protein_coding
ENSG00000257727,protein_coding
ENSG00000253981,transcribed_unprocessed_pseudogene
ENSG00000267365,lncRNA
ENSG00000244515,transcribed_processed_pseudogene
ENSG00000206530,protein_coding
ENSG00000261799,lncRNA
ENSG00000242372,protein_coding
ENSG00000225921,protein_coding
ENSG00000213277,processed_pseudogene
ENSG00000261783,lncRNA
ENSG00000267082,lncRNA
ENSG00000266469,lncRNA
ENSG00000188599,transcribed_unprocessed_pseudogene
ENSG00000200737,misc_RNA
ENSG00000252448,snoRNA
ENSG00000266490,NOT_FOUND
ENSG00000202522,misc_RNA
ENSG00000198353,protein_coding
ENSG00000231445,transcribed_processed_pseudogene
ENSG00000245532,lncRNA
ENSG00000260252,lncRNA
ENSG00000181444,protein_coding
ENSG00000214425,transcribed_unprocessed_pseudogene
ENSG00000225450,lncRNA
ENSG00000183066,protein_coding
ENSG00000203606,NOT_FOUND
ENSG00000258659,protein_coding
ENSG00000266980,lncRNA
ENSG00000224420,protein_coding
ENSG00000262557,NOT_FOUND
ENSG00000251075,lncRNA
ENSG00000255561,protein_coding
ENSG00000257594,protein_coding
ENSG00000253878,NOT_FOUND
ENSG00000235750,protein_coding
ENSG00000213281,protein_coding
ENSG00000228672,protein_coding
ENSG00000229759,processed_pseudogene
ENSG00000211513,miRNA
