"GeneName","n_eqtl","min_p","islet_available"
"YY2",1,9.82597e-24,TRUE
"PTCHD1",1,2.99104e-12,TRUE
"APOO",1,5.63199e-08,TRUE
"TAB3",1,1.36844e-06,TRUE
"TMEM47",1,1.64557e-06,TRUE
"SYTL5",1,1.0009e-06,TRUE
"ZNF674",1,1.33291e-05,TRUE
"RGN",1,5.33473e-07,TRUE
"USP11",1,2.02312e-06,TRUE
"SUMF1",1,1.62973e-08,TRUE
"OXTR",1,1.62076e-12,TRUE
"RAD18",1,4.76702e-08,TRUE
"THUMPD3",1,5.07295e-08,TRUE
"RPUSD3",1,4.92428e-14,TRUE
"IL17RC",1,7.92678e-20,TRUE
"IRAK2",1,1.91277e-06,TRUE
"SLC6A1",1,7.33859e-23,TRUE
"TAMM41",1,2.11162e-13,TRUE
"MKRN2",1,2.01128e-15,TRUE
"C3orf83",1,1.34089e-09,TRUE
"C3orf20",1,3.50322e-28,TRUE
"SH3BP5",1,2.73106e-07,TRUE
"PLCL2",1,2.0758e-06,TRUE
"KCNH8",1,1.85588e-06,TRUE
"EFHB",1,6.08464e-35,TRUE
"RAB5A",1,3.94554e-10,TRUE
"PP2D1",1,2.02855e-07,TRUE
"KAT2B",1,7.83815e-11,TRUE
"ACOT9",2,1.95652e-08,TRUE
"GPR34",2,4.59989e-06,TRUE
"SRGAP3",2,2.34685e-14,TRUE
"GRM7-AS3",3,1.51918e-06,TRUE
"ZNF385D",1,1.0465e-06,TRUE
"UBE2E2",1,2.09666e-13,TRUE
"ZNF718",1,9.79528e-57,TRUE
"ZNF732",1,6.44311e-13,TRUE
"MFSD7",1,7.50318e-10,TRUE
"PCGF3",1,2.51604e-07,TRUE
"CPLX1",1,1.24038e-07,TRUE
"DGKQ",1,1.08487e-12,TRUE
"IDUA",1,1.07313e-07,TRUE
"RNF212",1,2.58812e-17,TRUE
"UVSSA",1,4.40245e-34,TRUE
"CRIPAK",1,2.30089e-50,TRUE
"FAM53A",1,2.32251e-09,TRUE
"GRK4",1,1.93986e-09,TRUE
"LRPAP1",1,5.9147e-20,TRUE
